SITC_code,description,sector_code,stage,multiplier
S2-2875,Zinc ores and concentrates,,,
S2-2876,Tin ores and concentrates,,,
S2-2877,Manganese ore and concentrates,,,
S2-2879,Ores and concentrates of other non-ferrous base metals,,,
S2-28791,Chromium ore and concentrate,,,
S2-28792,Tungsten ore and concentrate,,,
S2-28793,"Ores and concentrates of molybdenum, niobium, titanium, etc",,,
S2-28799,"Other base metal ore and concentrates, nes",,,
S2-288,"Non-ferrous base metal waste and scrap, nes",,,
S2-2881,"Ash and residues, nes",,,
S2-2882,"Other non-ferrous base metal waste and scrap, nes",,,
S2-28821,Copper waste and scrap,,,
S2-28822,Nickel waste and scrap,,,
S2-28823,Aluminium waste and scrap,,,
S2-28824,Lead waste and scrap,,,
S2-28825,Zinc waste and scrap (other than dust),,,
S2-28826,Tin waste and scrap,,,
S2-289,"Ores and concentrates of precious metals, waste, scrap",,,
S2-2890,"Ores and concentrates of precious metals, waste, scrap",,,
S2-28901,Ores and concentrates of precious metals,,,
S2-28902,"Precious metal, waste and scrap",,,
S2-29,"Crude animal and vegetable materials, nes",,,
S2-291,"Crude animal materials, nes",,,
S2-2911,"Bones, ivory, horns, coral, shells and similar products",,,
S2-29111,"Bone, horn-core, unworked, defatted, degelatinized, etc, and waste",,,
S2-29115,"Coral, shells, unworked or simply prepared, and waste",,,
S2-29116,"Ivory, tortoise-shell etc, unworked or simply prepared, and waste",,,
S2-2919,"Other materials of animal origin, nes",,,
S2-29191,"Human hair, unworked; waste of human hair",,,
S2-29192,"Brush-making hair, etc, and waste",,,
S2-29193,"Gut, bladders, and stomachs of animals (other than fish)",,,
S2-29194,Fish waste,,,
S2-29196,"Skins and other parts of birds with feathers or down, etc, parts of",,,
S2-29197,Natural sponges,,,
S2-29198,"Ambergris, civet, musk, etc, used for pharmaceutical products",,,
S2-29199,"Animal products, nes; dead animals unfit for human consumption",,,
S2-292,"Crude vegetable materials, nes",,,
S2-2922,"Natural gums, resins, lacs and balsams",,,
S2-2923,Vegetable plaiting materials,,,
S2-2924,Plants and parts of trees used in perfumery; in pharmacy; etc,,,
S2-2925,"Seeds, fruits and spores, nes, for planting",,,
S2-2926,"Live plants, bulbs, etc",,,
S2-29261,"Bulbs, tubers, corms and others; dormant, in growth or in flower",,,
S2-29269,Other live plants,,,
S2-2927,Cut flowers and foliage,,,
S2-29271,"Cut flowers and flower buds, fresh, dried, bleached etc",,,
S2-29272,"Cut foliage, fresh, dried, bleached etc",,,
S2-2929,"Other materials of vegetable origin, nes",,,
S2-29291,Vegetable saps and extracts; agar-agar and other mucilages,,,
S2-29292,Vegetable padding or stuffing materials,,,
S2-29293,Vegetable materials for brushes or brooms,,,
S2-29298,"Vegetable materials and products, nes",,,
S2-3,"Mineral fuels, lubricants and related materials",,,
S2-32,"Coal, coke and briquettes",,,
S2-322,"Coal, lignite and peat",,,
S2-3221,"Anthracite, not agglomerated",,,
S2-3222,"Other coal, not agglomerated",,,
S2-3223,"Lignite, not agglomerated",,,
S2-3224,"Peat, not agglomerated",,,
S2-323,Briquettes; coke and semi-coke; lignite or peat; retort carbon,,,
S2-3231,"Briquettes, ovoids, from coal, lignite or peat",,,
S2-32311,"Briquettes, ovoids and similar solid fuels of coal",,,
S2-32312,"Lignite, agglomerated",,,
S2-32313,"Peat, agglomerated",,,
S2-3232,"Coke and semi-coke of coal, of lignite or peat; retort carbon",,,
S2-32321,Coke and semi-coke of coal; retort carbon,,,
S2-32322,Coke and semi-coke of lignite or of peat,,,
S2-33,"Petroleum, petroleum products and related materials",,,
S2-333,Crude petroleum and oils obtained from bituminous minerals,,,
S2-3330,Crude petroleum and oils obtained from bituminous materials,,,
S2-334,"Petroleum products, refined",,,
S2-3341,Gasoline and other light oils,,,
S2-33411,"Motor spirit, including aviation spirit",,,
S2-33412,Spirit type jet fuel,,,
S2-33419,Other light petroleum oils,,,
S2-3342,Kerosene and other medium oils,,,
S2-33421,Kerosene (including kerosene type jet fuel),,,
S2-33429,Other medium petroleum oil,,,
S2-3343,Gas oils,,,
S2-3344,"Fuel oils, nes",,,
S2-3345,"Lubricating petroleum oils, and preparations, nes",,,
S2-33451,Lubricating petroleum oils (high petroleum content) etc,,,
S2-33452,Lubricating preparations (low petroleum content),,,
S2-335,"Residual petroleum products, nes and related materials",,,
S2-3351,Petroleum jelly and mineral waxes,,,
S2-33511,Petroleum jelly,,,
S2-33512,Mineral waxes,,,
S2-3352,Mineral tars and products,,,
S2-33521,Mineral tars,,,
S2-33522,Benzole,,,
S2-33523,Toluole,,,
S2-33524,Xylole,,,
S2-33525,"Mineral tar oils etc, nes",,,
S2-3353,"Mineral tar pitch, pitch coke",,,
S2-33531,Pitch from mineral tars,,,
S2-33532,Pitch coke,,,
S2-3354,"Petroleum bitumen, petroleum coke and bituminous mixtures, nes",,,
S2-33541,"Petroleum bitumen, etc",,,
S2-33542,Petroleum coke,,,
S2-33543,Bituminous mixtures etc,,,
S2-34,"Gas, natural and manufactured",,,
S2-341,"Gas, natural and manufactured",,,
S2-3413,"Petroleum gases and other gaseous hydrocarbons, nes, liquefied",,,
S2-34131,Liquefied propane and butane,,,
S2-34139,"Liquefied gaseous hydrocarbons, nes",,,
S2-3414,"Petroleum gases, nes, in gaseous state",,,
S2-3415,"Coal gas, water gas and similar gases",,,
S2-35,Electric current,,,
S2-351,Electric current,,,
S2-3510,Electric current,,,
S2-4,"Animal and vegetable oils, fats and waxes",,,
S2-41,Animal oils and fats,,,
S2-411,Animal oils and fats,,,
S2-4111,Fat and oils of fish and marine mammals,,,
S2-41111,Fish liver oil,,,
S2-41112,Fish oils and fats (other than fish liver oil),,,
S2-41113,Oils and fats of marine mammals,,,
S2-4113,"Animals oils, fats and greases, nes",,,
S2-41131,Pig and poultry fat unrendered,,,
S2-41132,"Fats of bovine cattle, sheep or goats",,,
S2-41133,"Lard stearin and oils, etc",,,
S2-41134,Wool grease and fatty substances derived therefrom,,,
S2-41139,"Animal oils and fats, nes",,,
S2-42,Fixed vegetable oils and fats,,,
S2-423,"Fixed vegetable oils, soft, crude refined or purified",,,
S2-4232,Soya bean oil,,,
S2-4233,Cotton seed oil,,,
S2-4234,Groundnut (peanut) oil,,,
S2-4235,Olive oil,,,
S2-4236,Sunflower seed oil,,,
S2-4239,"Other fixed vegetable oils, soft",,,
S2-42391,"Rape, colza and mustard oils",,,
S2-42392,Sesame oil,,,
S2-424,"Other fixed vegetable oils, fluid or solid, crude, refined",,,
S2-4241,Linseed oil,,,
S2-4242,Palm oil,,,
S2-4243,Coconut (copra) oil,,,
S2-4244,Palm kernel oil,,,
S2-4245,Castor oil,,,
S2-4249,"Fixed vegetable oils, nes",,,
S2-43,"Animal and vegetable oils and fats, processed, and waxes",,,
S2-431,"Animal and vegetable oils and fats, processed, and waxes",,,
S2-4311,Processed animal and vegetable oils,,,
S2-4312,Hydrogenated animal or vegetable oils and fats,,,
S2-4313,"Fatty acids, acid oils, and residues; degras",,,
S2-43131,Fatty acids; acid oils from refining,,,
S2-43133,Residues of treating fat; degras,,,
S2-4314,Waxes of animal or vegetable origin,,,
S2-43143,Vegetable waxes,,,
S2-43144,"Spermaceti, crude or refined; insect waxes",,,
S2-5,"Chemicals and related products, nes",,,
S2-51,Organic chemicals,,,
S2-511,"Hydrocarbons, nes, and derivatives",,,
S2-5111,Acyclic hydrocarbons,,,
S2-51111,Ethylene,,,
S2-51112,Propylene,,,
S2-51113,"Butylenes, butadienes and methylbutadienes",,,
S2-51119,Other acyclic hydrocarbons,,,
S2-5112,Cyclic hydrocarbons,,,
S2-51121,Cyclohexane,,,
S2-51122,"Benzene, chemically pure",,,
S2-51123,"Toluene, chemically pure",,,
S2-51124,"Xylenes, chemically pure",,,
S2-51125,Styrene,,,
S2-51126,Ethylbenzene,,,
S2-51129,Other cyclic hydrocarbons,,,
S2-5113,Halogenated derivatives of hydrocarbons,,,
S2-51131,Vinyl chloride (chloroethylene),,,
S2-51132,Trichloroethylene,,,
S2-51133,Tetrachloroethylene (perchloroethylene),,,
S2-51139,Other halogenated derivatives of hydrocarbons,,,
S2-5114,"Hydrocarbons derivatives, nonhaloganeted",,,
S2-512,"Alcohols, phenols etc, and their derivatives",,,
S2-5121,"Acyclic alcohols, and their derivatives",,,
S2-51211,Methyl alcohol (methanol),,,
S2-51212,Propanols,,,
S2-51213,Butyl alcohols (butanols),,,
S2-51214,Octyl alcohols (octanols),,,
S2-51215,Ethylene glycol,,,
S2-51216,Ethyl alcohol; denatured spirits,,,
S2-51217,Fatty alcohols,,,
S2-51218,Glycerol and glycerol lyes,,,
S2-51219,"Other acyclic alcohols, and their derivatives",,,
S2-5122,"Cyclic alcohols, and their derivatives",,,
S2-5123,"Phenols and phenol-alcohols, and their derivatives",,,
S2-51234,"Phenol pure, and its salts",,,
S2-51235,"Cresols, nes, and their salts",,,
S2-51236,Other phenols and phenol-alcohols,,,
S2-51237,Derivatives of phenol or phenol-alcohols,,,
S2-513,"Carboxylic acids, and their derivatives",,,
S2-5137,Monocarboxylic acids and their derivatives,,,
S2-51371,Acetic acid and its salts,,,
S2-51372,Esters of acetic acid,,,
S2-51373,Methacrylic acid and its salts and esters,,,
S2-51379,"Other monocarboxylic acids, and their derivatives",,,
S2-5138,Polycarboxylic acids and their derivatives,,,
S2-51381,Maleic anhydride,,,
S2-51382,Phthalic anhydride,,,
S2-51383,Dioctyl orthophthalates,,,
S2-51384,Esters of terephthalic acid,,,
S2-51389,"Other polyacarboxylic acids, and their derivatives",,,
S2-5139,"Oxygen-function acids, and their derivatives",,,
S2-514,Nitrogen-function compounds,,,
S2-5145,Amine-function compounds,,,
S2-5146,Oxygen-function amino-compounds,,,
S2-5147,Amide-function compounds; excluding urea,,,
S2-5148,Other nitrogen-function compounds,,,
S2-51481,"Quaternary ammonium salts and hydroxides; lecithin, etc",,,
S2-51482,Carboxyimide and imide-function compounds,,,
S2-51483,Acrylonitrile,,,
S2-51484,Other nitrile-function compounds,,,
S2-51485,"Diazo-, azo-, azoxy-compounds",,,
S2-51486,Organic derivatives of hydrazine or of hydroxylamine,,,
S2-51489,Compounds with other nitrogen functions,,,
S2-515,Organo-inorganic and heterocyclic compounds,,,
S2-5154,Organo-sulphur compounds,,,
S2-5155,Other organo-inorganic compounds,,,
S2-51551,Organo-mercury compounds,,,
S2-51559,"Organo-inorganic compounds, nes",,,
S2-5156,Heterocyclic compound; nucleic acids,,,
S2-51561,Lactams,,,
S2-51569,Other heterocyclic compounds; nucleic acids,,,
S2-5157,"Sulphonamides, sultones and sultams",,,
S2-51571,Sulphonamides,,,
S2-51572,Sultones and sultams,,,
S2-516,Other organic chemicals,,,
S2-5161,"Ethers, epoxides, acetals",,,
S2-51611,"Ethers, ether-alcohol, etc, and their derivatives",,,
S2-51612,"Acetals, hemiacetals, etc, and their derivatives",,,
S2-51613,Ethylene oxide (oxirane),,,
S2-51614,Propylene oxide,,,
S2-51619,Other epoxides etc,,,
S2-5162,"Aldehyde, ketone and quinone-function compounds",,,
S2-51621,Oxygen-function aldehyde,,,
S2-51622,Oxygen-function aldehyde derivatives,,,
S2-51623,Acetone,,,
S2-51624,Ethyl methyl ketone,,,
S2-51629,"Other ketones etc, and their derivatives",,,
S2-5163,"Inorganic esters, their salts and derivatives",,,
S2-51631,"Phosphoric esters, their salts and derivatives",,,
S2-51639,"Other inorganic esters, their salts and derivatives",,,
S2-5169,"Organic chemicals, nes",,,
S2-51691,Enzymes,,,
S2-51692,"Sugars, chemically pure etc, nes",,,
S2-51699,Other organic compounds,,,
S2-52,Inorganic chemicals,,,
S2-522,"Inorganic chemical elements, oxides and halogen salts",,,
S2-5221,Chemical elements,,,
S2-52211,"Oxygen, nitrogen, hydrogen and rare gases",,,
S2-52212,"Selenium, tellurium, phosphorus, arsenic, silicon and boron",,,
S2-52213,Chlorine,,,
S2-52214,"Fluorine, bromine and iodine",,,
S2-52215,"Sulphur, purified",,,
S2-52216,Mercury,,,
S2-52217,Alkali and alkaline-earth metals; rare earth metals,,,
S2-52218,"Carbon (including carbon black), nes",,,
S2-5222,Inorganic acids and oxygen compounds of non-metals,,,
S2-52221,Hydrochloric acid and chlorosulphuric acid,,,
S2-52222,Sulphuric acid; oleum,,,
S2-52223,Nitric acid; sulphonitric acids,,,
S2-52224,Phosphorus pentoxide and phosphoric acids,,,
S2-52225,Boric oxide and boric acid,,,
S2-52229,Other inorganic acids and oxygen compounds of non-metals,,,
S2-5223,Halogen and sulphur compounds of non-metals,,,
S2-52231,Halogen compounds of non-metals,,,
S2-52232,Sulphides of non-metals; phophorus trisulphide,,,
S2-5224,"Metallic oxides of zinc, iron, lead, chromium etc",,,
S2-52241,Zinc oxide and zinc peroxide,,,
S2-52242,Chromium oxide and hydroxides,,,
S2-52243,Manganese oxides,,,
S2-52244,Iron oxides and hydroxides,,,
S2-52245,Cobalt oxides and hydroxides,,,
S2-52246,Titanium oxides,,,
S2-52247,Lead oxides,,,
S2-5225,"Inorganic bases and metallic oxides, hydroxides and peroxides",,,
S2-52251,"Ammonia, anhydrous, or in aqueous solution",,,
S2-52252,"Sodium hydroxide (caustic soda), solid",,,
S2-52253,Sodium hydroxide in aqueous solution,,,
S2-52254,Potassium hydroxide; peroxides of sodium or potassium,,,
S2-52255,"Oxides, hydroxides and peroxides of Mg, Sr and Ba",,,
S2-52256,Aluminium hydroxide,,,
S2-52257,Artificial corundum,,,
S2-52259,"Inorganic bases and metallic oxides, nes",,,
S2-523,Other inorganic chemicals; compounds of precious metals,,,
S2-5231,Metallic salts and peroxysalts of inorganic acids,,,
S2-52311,Flourides and other complex fluorine salts,,,
S2-52312,"Chlorides, bromides, iodides, etc",,,
S2-52313,Chlorites and hypochlorites,,,
S2-52314,"Chlorates, bromates, iodates, etc",,,
S2-52315,Sulphides; polysulphides,,,
S2-52316,Dithionite; sulphoxylates,,,
S2-52317,Sulphites and thiosulphates,,,
S2-52318,"Sodium sulphate, sodium pyrosulphate, etc",,,
S2-52319,Other sulphates and persulphates,,,
S2-5232,Metallic salts and peroxysalts of inorganic acids,,,
S2-52321,Nitrites and nitrates,,,
S2-52322,"Phosphites, hydrophosphites and phosphates",,,
S2-52323,Neutral sodium carbonate,,,
S2-52324,"Carbonate nes, percabonate",,,
S2-52325,Cyanides and complex cyanide,,,
S2-52326,"Fulminates, cyanates and thiocynates",,,
S2-52327,Silicates,,,
S2-52328,Borates and perborates,,,
S2-52329,"Salts and peroxysalts of inorganic acids, nes",,,
S2-5233,Salts of metallic acids; compounds of precious metals,,,
S2-52331,Salts of metallic acids,,,
S2-52332,"Colloidal, amalgams, salts etc, of precious metals,",,,
S2-5239,"Inorganic chemical products, nes",,,
S2-52391,Hydrogen peroxide,,,
S2-52392,Phosphides,,,
S2-52393,Calcium carbide,,,
S2-52394,Carbides (other than calcium carbide),,,
S2-52395,"Hydrides, nitrides, etc",,,
S2-52399,"Other inorganic compounds, nes; amalgams; liquid air etc",,,
S2-524,Radioactive and associated material,,,
S2-5241,"Radio-active chemical elements, isotopes etc",,,
S2-5249,Other radio-active and associated materials,,,
S2-52491,Isotopes and their compounds (other than those in heading 524.1),,,
S2-52492,"Compounds of thorium, uranium, yttrium, scandium etc",,,
S2-53,"Dyeing, tanning and colouring materials",,,
S2-531,"Synthetic dye, natural indigo, lakes",,,
S2-5311,"Synthetic organic dyestuffs, etc, natural indigo and colour lakes",,,
S2-5312,"Synthetic organic luminophores, indigo, lakes",,,
S2-53121,Synthetic organic luminophores etc; natural indigo,,,
S2-53122,Colour lakes,,,
S2-532,"Dyeing and tanning extracts, and synthetic tanning materials",,,
S2-5322,"Dyeing, tanning extracts, tannins and their derivatives",,,
S2-53221,Tanning extracts of vegetable origin; tannins,,,
S2-53222,Dyeing extracts of vegetable or animal origin,,,
S2-5323,Synthetic tanning substances; tanning preparations,,,
S2-533,"Pigments, paints, varnishes and related materials",,,
S2-5331,Other colouring matter; inorganic products use as luminophores,,,
S2-5332,Printing inks,,,
S2-5334,Varnishes and lacquers; distempers etc,,,
S2-53341,Water-thinned paints,,,
S2-53342,"Other paints, varnishes etc, nes",,,
S2-53343,Pigments in paint or anamel media,,,
S2-53344,"Distempers, dyes etc, in forms or packings for retail",,,
S2-5335,"Glazes, driers, putty etc",,,
S2-53351,"Prepared pigments, glazes etc",,,
S2-53352,Artists colours,,,
S2-53353,Prepared driers,,,
S2-53354,"Putty, other fillings etc",,,
S2-54,Medicinal and pharmaceutical products,,,
S2-541,Medicinal and pharmaceutical products,,,
S2-5411,Provitamins and vitamins,,,
S2-5413,"Antibiotics, not put up as medicaments",,,
S2-54131,Penicillins and their derivatives,,,
S2-54132,Streptomycins and their derivatives,,,
S2-54133,Tetracyclines and their derivatives,,,
S2-54139,"Other antibiotics, not put up as medicaments",,,
S2-5414,"Vegetable alkaloids and derivatives, not put up as medicaments",,,
S2-5415,"Hormones, natural, or reproduce by synthesis, in bulk",,,
S2-54151,Insulin,,,
S2-54152,Pituitary and similar hormones,,,
S2-54153,Adrenal cortical hormones,,,
S2-54159,"Other hormones, derivatives and other steroids etc",,,
S2-5416,"Glycosides, glands, antisera, vaccines and similar products",,,
S2-54161,Glycosides and derivatives,,,
S2-54162,Organo-therapeutic glands etc and extracts,,,
S2-54164,Antisera and microbial vaccines,,,
S2-54165,"Toxins, microbial cultures and similar products",,,
S2-5417,Medicaments (including veterinary medicaments),,,
S2-54171,Medicaments (including veterinary medicaments); containing antibiotics,,,
S2-54172,Medicaments (including veterinary medicaments); containing hormones,,,
S2-54173,Medicaments (including veterinary medicaments); containing alkaloids,,,
S2-54179,Medicaments (including veterinary medicaments); containing other substances,,,
S2-5419,"Pharmaceutical goods, other than medicaments",,,
S2-54191,"Wadding, gauze, bandages prepared etc",,,
S2-54199,Other pharmaceutical goods,,,
S2-55,Oils and perfume materials; toilet and cleansing preparations,,,
S2-551,"Essential oils, perfume and flavour materials",,,
S2-5513,"Essential oil, resinoid, etc",,,
S2-5514,"Mixtures of odoriferous substances, used in perfumery, food etc",,,
S2-553,"Perfumery, cosmetics, toilet preparations, etc",,,
S2-5530,"Perfumery, cosmetics, toilet preparations, etc",,,
S2-554,"Soap, cleansing and polishing preparations",,,
S2-5541,"Soaps, organic products and preparations for use as soap",,,
S2-5542,"Organic surface-active agents, nes",,,
S2-5543,"Polishes and creams, for furniture, floors, footwear, metals etc",,,
S2-56,"Fertilizers, manufactured",,,
S2-562,"Fertilizers, manufactured",,,
S2-5621,"Mineral or chemical fertilizers, nitrogenous",,,
S2-56211,Ammonium nitrate,,,
S2-56212,Ammonium sulphonitrate,,,
S2-56213,Ammonium sulphate,,,
S2-56214,Calcium nitrate containing 16% or less by weight of nitrogen,,,
S2-56215,Calcium cyanamide containing 25% or less by weight of nitrogen,,,
S2-56216,Urea,,,
S2-56219,"Mineral or chemical fertilizers; nitrogenous, nes",,,
S2-5622,"Mineral or chemical fertilizers, phosphatic",,,
S2-56221,Basic slag (Thomas slag),,,
S2-56222,Superphosphates,,,
S2-56229,"Mineral or chemical fertilize, phosphatic, nes",,,
S2-5623,"Mineral or chemical fertilizer, potassic",,,
S2-56231,Potassium chloride,,,
S2-56232,Potassium sulphate containing 52% or less by weight of K2O,,,
S2-56239,"Mineral or chemical fertilizer, potassic, nes",,,
S2-5629,"Fertilizers, nes",,,
S2-56291,"Nitrogen-phosphorus-potassium fertilizer, nes",,,
S2-56292,"Nitrogen-phosphorus fertilizer, nes",,,
S2-56293,"Nitrogen-potassium fertilizer, nes",,,
S2-56299,"Other fertilizers, nes",,,
S2-57,Explosives and pyrotechnic products,,,
S2-572,Explosives and pyrotechnic products,,,
S2-5723,Pyrotechnic articles,,,
S2-58,"Artificial resins and plastic materials, and cellulose esters etc",,,
S2-582,"Condensation, polycondensation and polyaddition products",,,
S2-5821,Phenoplasts,,,
S2-58211,Phenoplasts; in primary forms,,,
S2-58212,"Phenoplasts; in the form of plates, film, sheets, foil or strip",,,
S2-58219,Phenoplasts; in other forms (including waste and scrap),,,
S2-5822,Aminoplasts,,,
S2-58221,Aminoplasts; in primary forms,,,
S2-58222,"Aminoplasts; in the form of plates, film, sheets, foil or strip",,,
S2-58229,Aminoplasts; in other forms (including waste and scrap),,,
S2-5823,Alkyds and other polyesters,,,
S2-58231,Alkyds and other polyesters; in primary forms,,,
S2-58232,"Alkyds and other polyesters; in the forms of plates, film, sheets, foil or strip",,,
S2-58239,Alkyds and other polyesters; in other forms (including waste and scrap),,,
S2-5824,Polyamides,,,
S2-58241,Polyamides; in primary forms,,,
S2-58242,"Polyamides; in the forms of plates, film, sheets, foil or strip",,,
S2-58249,Polyamides; in other forms (including waste and scrap),,,
S2-5825,Polyurethanes,,,
S2-58251,Polyurethanes; in primary forms,,,
S2-58259,Polyurethanes; in other forms (including waste and scrap),,,
S2-5826,Epoxide resins,,,
S2-58261,Epoxide resins; in primary forms,,,
S2-58269,Epoxide resins; in other forms (including waste and scrap),,,
S2-5827,Silicones,,,
S2-5828,"Ion exchangers of the condensation, polycondensation etc",,,
S2-5829,"Other condensation, polycodensation or polyaddition products",,,
S2-583,Polymerization and copolymerization products,,,
S2-5831,Polyethylene,,,
S2-58311,Polyethylene; in primary forms,,,
S2-58312,"Polyethylene; in the form of monofil, tubes, rods, sticks or profile shapes",,,
S2-58313,"Polyethylene; in the form of plates, sheets, film, foil or strip",,,
S2-58319,Polyethylene; in the form of waste and scrap,,,
S2-5832,Polypropylene,,,
S2-58321,Polypropylene; in primary forms,,,
S2-58322,"Polypropylene; in the form of plates, sheets, film, foil or strip",,,
S2-58329,Polypropylene; in other forms (including waste and scrap),,,
S2-5833,Polystyrene and its copolymers,,,
S2-58331,Polystyrene and its copolymers; in primary forms,,,
S2-58332,"Polystyrene and its copolymers; in the form of monofil, tubes, rods, sticks or profile shapes",,,
S2-58333,"Polystyrene and its copolymers; in the form of plates, sheets, film, foil or strip",,,
S2-58339,Polystyrene and its copolymers; in the form of waste and scrap,,,
S2-5834,Polyvinyl chloride,,,
S2-58341,Polyvinyl chloride; in primary forms,,,
S2-58342,"Polyvinyl chloride; in the form of monofil, tubes, rods, sticks or profile shapes",,,
S2-58343,"Polyvinyl chloride; in the form of plates, sheets, strip, film or foil",,,
S2-58349,Polyvinyl chloride; in the form of waste and scrap,,,
S2-5835,Copolymers of vinyl chloride and vinyl acetate,,,
S2-58351,Copolymers of vinyl chloride and vinyl acetate; in primary forms,,,
S2-58352,"Copolymers of vinyl chloride and vinyl acetate; in the form of monofil, tubes, rods, sticks or profile shapes",,,
S2-58353,"Copolymers of vinyl chloride and vinyl acetate; in the form of plates, sheets, strip, film or foil",,,
S2-58359,Copolymers of vinyl chloride and vinyl acetate; in the form of waste and scrap,,,
S2-5836,Acrylic and methaacrylic polymers; acrylo-methacrylic copolymers,,,
S2-58361,Acrylic and methaacrylic polymers; acrylo-methacrylic copolymers; in primary forms,,,
S2-58362,"Acrylic and methaacrylic polymers; acrylo-methacrylic copolymers; in the form of plates, sheets, strip, film or foil",,,
S2-58369,Acrylic and methaacrylic polymers; acrylo-methacrylic copolymers; in other forms (including waste and scrap),,,
S2-5837,Polyvinyl acetate,,,
S2-5838,Ion exchangers of the polymerization or copolymerization type,,,
S2-5839,Other polymerization and copolymarization products,,,
S2-584,Regenerated cellulose; derivatives of cellulose; vulcanized fibre,,,
S2-5841,Regenerated cellulose,,,
S2-5842,Cellulose nitrates,,,
S2-58421,Cellulose nitrates; non-plasticized,,,
S2-58422,Cellulose nitrates; plasticized,,,
S2-5843,Cellulose acetates,,,
S2-58431,Cellulose acetates; non-plasticized,,,
S2-58432,Cellulose acetates; plasticized,,,
S2-5849,Other chemical derivatives of cellulose; vulcanized fibre,,,
S2-58491,"Other chemical derivatives of cellulose, non-plasticized",,,
S2-58492,"Other chemical derivatives of cellulose, plasticized",,,
S2-58493,Vulcanized fibre,,,
S2-585,Other artificial resins and plastic materials,,,
S2-5851,Modified natural resins etc; derivatives of natural rubber,,,
S2-5852,"Other artificial plastic materials, nes",,,
S2-58521,Hardened proteins,,,
S2-58522,Alginic acid its salts and esters,,,
S2-58529,"Other high polymers etc, nes; linoxyn",,,
S2-59,"Chemical materials and products, nes",,,
S2-591,"Pesticides, disinfectants",,,
S2-5911,"Insecticides, for sale by retail or as preparations",,,
S2-5912,"Fungicides, for sale by retail or as preparation",,,
S2-5913,"Herbicides, for sale by retail or as preparation",,,
S2-5914,"Disinfectants, etc, for sale by retail or as preparation",,,
S2-59141,"Disinfectants, for sale by retail or as preparation",,,
S2-59149,"Anti-sprouting products, rat poisons etc for sale by retail",,,
S2-592,"Starches, insulin and wheat gluten; albuminoidal substances; glues",,,
S2-5921,"Starches, insulin and wheat gluten",,,
S2-59211,"Starches, inulin",,,
S2-59212,"Wheat gluten, whether or not dried",,,
S2-5922,Albuminoid substances; glues,,,
S2-59221,"Casein, caseinates and other casein derivatives; casein glues",,,
S2-59222,"Albumins, albuminates and other albumin derivatives",,,
S2-59223,Gelatin and derivatives; glues derived from bones etc; isinglass,,,
S2-59224,Protein and derivatives; hide powder,,,
S2-59225,Dextrin; starch glues; soluble or roasted starches,,,
S2-59229,"Prepared glues, nes; products use as glues, for sale by retail",,,
S2-598,"Miscellaneous chemical products, nes",,,
S2-5981,Woods and resin-based chemical products,,,
S2-59811,Tall oil,,,
S2-59812,Concentrated sulphite lye,,,
S2-59813,Spirits of turpentine; crude dipentene; sulphite turpentene etc,,,
S2-59814,"Rosin and resin acids, and derivatives; rosin spirits and oils",,,
S2-59819,"Wood tar and oils; vegetable pitch; acetone oil, etc",,,
S2-5982,"Anti-knock preparation, anti-corrosive; viscosity improvers; etc",,,
S2-5983,"Organic chemical products, nes",,,
S2-59831,"Artificial waxes; prepared waxes, not emulsified or with solvents",,,
S2-59832,Artificial graphite; colloidal graphite,,,
S2-59833,Prepared rubber accelerators,,,
S2-5989,"Chemical products and preparations, nes",,,
S2-59891,"Prepared glazings, dressings and mordants",,,
S2-59892,Activated natural mineral products; activated carbon; animal black,,,
S2-59893,Prepared culture media for development of micro-organisms,,,
S2-59894,Preparations and charges for fire extinguishers,,,
S2-59895,Modelling pastes; dental wax or dental impression compounds,,,
S2-59896,"Pickling preparations for metal surfaces; fluxes, etc",,,
S2-59897,"Composite solvents and thinners for varnishes, etc",,,
S2-59898,Compound catalysts,,,
S2-59899,"Other chemical products and preparations, nes",,,
S2-6,Manufactured goods classified chiefly by materials,,,
S2-61,"Leather, leather manufactures, nes, and dressed furskins",,,
S2-611,Leather,,,
S2-6112,"Composition leather, in slabs, sheets or rolls",,,
S2-6113,Calf leather,,,
S2-6114,Leather of other bovine cattle and equine leather,,,
S2-6115,Sheep and lamb skin leather,,,
S2-6116,Leather of other hides or skins,,,
S2-61161,Goat and kid skin leather,,,
S2-61169,"Leather, nes",,,
S2-6118,"Leather, specially dressed or finished, nes",,,
S2-61181,Chamois-dressed leather,,,
S2-61183,Patent leather and imitation patent leather; metallized leather,,,
S2-612,"Manufactures of leather or of composition leather, nes; etc",,,
S2-6121,"Articles of leather use in machinery or mechanical appliances, etc",,,
S2-6122,"Saddlery and harness, of any material, for any kind of animal",,,
S2-6123,Parts of footwear of any material except metal and asbestos,,,
S2-6129,Other articles of leather or of composition leather,,,
S2-613,"Furskins, tanned or dressed; pieces of furskin, tanned or dressed",,,
S2-6130,"Furskins, tanned or dressed; pieces of furskin, tanned or dressed",,,
S2-62,"Rubber manufactures, nes",,,
S2-621,Materials of rubber,,,
S2-6210,Materials of rubber,,,
S2-62101,"Plates, sheets and strip, nes, of unvulcanized rubber",,,
S2-62102,"Unvulcanized rubber, in other forms; articles etc",,,
S2-62103,Vulcanized rubber thread and cord,,,
S2-62104,"Plates, sheets, strip, rods, etc, of unhardened vulcanized rubber",,,
